index,artist,title,medium,year,width,height,gender,artistBirthYear,acquisitionYear,url
17182,"Long, Richard",River Avon Book,Book with mud on paper,1979,0.158,0.142,Male,1945,2008,http://www.tate.org.uk/art/artworks/long-river-avon-book-ar00144
17183,"Ruscha, Edward",HOLLYWOOD TANTRUM,Pastel on paper,1979,0.584,0.737,Male,1937,2008,http://www.tate.org.uk/art/artworks/ruscha-hollywood-tantrum-ar00059
17184,"Beuys, Joseph",Drawings - Objects,Print on paper,1979,0.597,0.425,Male,1921,2009,http://www.tate.org.uk/art/artworks/beuys-drawings-objects-ar00755
17185,"Warhol, Andy",Russell Means,Lithograph on paper,1979,1.262,0.882,Male,1928,2009,http://www.tate.org.uk/art/artworks/warhol-russell-means-ar00422
17186,"Warhol, Andy",Russell Means,Lithograph on paper,1979,0.837,0.592,Male,1928,2009,http://www.tate.org.uk/art/artworks/warhol-russell-means-ar00423
17187,"Hamilton, Richard",Putting on de Stijl,Collotype and screenprint on paper,1979,0.3,0.42,Male,1922,2009,http://www.tate.org.uk/art/artworks/hamilton-putting-on-de-stijl-p79730
17188,Linder,She's too much for my mirror,Digital print and collage,1979,0.314,0.313,Female,1954,2009,http://www.tate.org.uk/art/artworks/linder-shes-too-much-for-my-mirror-p79793
17189,"Hamilton, Richard",Soft blue landscape,Collotype and screenprint on paper,1979,0.728,0.92,Male,1922,2009,http://www.tate.org.uk/art/artworks/hamilton-soft-blue-landscape-p79796
17190,"Hamilton, Richard",Berlin interior,"Photo-etching, engraving and aquatint on paper",1979,0.565,0.759,Male,1922,2009,http://www.tate.org.uk/art/artworks/hamilton-berlin-interior-p79813
17191,"Hamilton, Richard",Motel I,Etching and aquatint on paper,1979,0.275,0.348,Male,1922,2010,http://www.tate.org.uk/art/artworks/hamilton-motel-i-p79817
17192,"Beuys, Joseph",Joseph Beuys: Multiplizierte Kunst Ikarus Galerie und Edition,Print on paper,1979,0.605,0.421,Male,1921,2009,http://www.tate.org.uk/art/artworks/beuys-joseph-beuys-multiplizierte-kunst-ikarus-galerie-und-edition-ar00775
17193,"Beuys, Joseph","Die Grunen Burgerhaus, Nordweststad",Print on paper,1979,0.587,0.418,Male,1921,2009,http://www.tate.org.uk/art/artworks/beuys-die-grunen-burgerhaus-nordweststad-ar00776
17194,"Beuys, Joseph","Joseph Beuys: Objekter. Grafik. Multi Gallerie Per Sten, Kopenhagen",Print on paper,1979,0.584,0.436,Male,1921,2009,http://www.tate.org.uk/art/artworks/beuys-joseph-beuys-objekter-grafik-multi-gallerie-per-sten-kopenhagen-ar00777
17195,"Beuys, Joseph",Joseph Beuys. Multiplizierte Kunst Haus Puschel,Print on paper,1979,0.418,0.592,Male,1921,2009,http://www.tate.org.uk/art/artworks/beuys-joseph-beuys-multiplizierte-kunst-haus-puschel-ar00778
17196,"Beuys, Joseph",Axel Hinrich Murken. Joseph Beuys and die Medizin,Print on paper,1979,0.594,0.413,Male,1921,2009,http://www.tate.org.uk/art/artworks/beuys-axel-hinrich-murken-joseph-beuys-and-die-medizin-ar00780
17197,"Beuys, Joseph",Kunstler Beuys,Print on paper,1979,0.678,0.304,Male,1921,2009,http://www.tate.org.uk/art/artworks/beuys-kunstler-beuys-ar00783
17198,"Beuys, Joseph",Beuys,Print on paper,1979,0.517,0.582,Male,1921,2009,http://www.tate.org.uk/art/artworks/beuys-beuys-ar00845
17199,"Beuys, Joseph",International Biennale for Graphic and Visual Art. Stadtpark Wein,Print on paper,1979,0.833,1.185,Male,1921,2009,http://www.tate.org.uk/art/artworks/beuys-international-biennale-for-graphic-and-visual-art-stadtpark-wein-ar00849
17200,"Beuys, Joseph",Manifest,Print on paper,1979,0.827,0.513,Male,1921,2009,http://www.tate.org.uk/art/artworks/beuys-manifest-ar00850
17201,"Beuys, Joseph",Joseph Beuys. Spuren in Italien,Print on paper,1979,0.993,0.695,Male,1921,2009,http://www.tate.org.uk/art/artworks/beuys-joseph-beuys-spuren-in-italien-ar00851
17202,"Beuys, Joseph",Joseph Beuys: Unsichtbare Plastik 1971. Galerie N<e4>chst St. Stephan,Print on paper,1979,0.866,0.547,Male,1921,2009,http://www.tate.org.uk/art/artworks/beuys-joseph-beuys-unsichtbare-plastik-1971-galerie-nachst-st-stephan-ar00855
17203,"Beuys, Joseph",Joseph Beuys. Basisraum Nasse W<e4>sche. Unsichtbare Plastik,Print on paper,1979,0.725,0.568,Male,1921,2009,http://www.tate.org.uk/art/artworks/beuys-joseph-beuys-basisraum-nasse-wasche-unsichtbare-plastik-ar00856
17204,"Beuys, Joseph","Joseph Beuys. Een konfrontatie, in diskussie",Print on paper,1979,0.893,0.616,Male,1921,2009,http://www.tate.org.uk/art/artworks/beuys-joseph-beuys-een-konfrontatie-in-diskussie-ar00923
17205,"Beuys, Joseph","Joseph Beuys. Een konfrontatie, 137 Tekeningen",Print on paper,1979,0.897,0.62,Male,1921,2009,http://www.tate.org.uk/art/artworks/beuys-joseph-beuys-een-konfrontatie-137-tekeningen-ar00924
17206,"Beuys, Joseph","Joseph Beuys. M<f6>nchehaus, Museum for Modern Art",Print on paper,1979,0.76,0.455,Male,1921,2009,http://www.tate.org.uk/art/artworks/beuys-joseph-beuys-monchehaus-museum-for-modern-art-ar00930
17207,"Beuys, Joseph",Matare. Kestner-Gesellschaft Hanover,Print on paper,1979,0.837,0.592,Male,1921,2009,http://www.tate.org.uk/art/artworks/beuys-matare-kestner-gesellschaft-hanover-ar00939
17208,"Beuys, Joseph",30 Jahre Kunst in der BRD. Die Sammlung des St<e4>dtischen Kunstmuseums Bonn,Print on paper,1979,0.802,0.591,Male,1921,2009,http://www.tate.org.uk/art/artworks/beuys-30-jahre-kunst-in-der-brd-die-sammlung-des-stadtischen-kunstmuseums-bonn-ar00940
17209,"Beuys, Joseph",Europawahl. die Grunen,Print on paper,1979,0.775,0.591,Male,1921,2009,http://www.tate.org.uk/art/artworks/beuys-europawahl-die-grunen-ar00732
17210,"Beuys, Joseph",Gespr<e4>ch mit Joseph Beuys. Galerie N<e4>chst St. Stephan,Print on paper,1979,0.858,0.84,Male,1921,2009,http://www.tate.org.uk/art/artworks/beuys-gesprach-mit-joseph-beuys-galerie-nachst-st-stephan-ar00942
17211,"Beuys, Joseph",Entartete Kunst,Print on paper,1979,0.593,0.559,Male,1921,2009,http://www.tate.org.uk/art/artworks/beuys-entartete-kunst-ar00943
17212,"Beuys, Joseph",bei dieser Wahl: die Grunen.,Print on paper,1979,0.725,0.587,Male,1921,2009,http://www.tate.org.uk/art/artworks/beuys-bei-dieser-wahl-die-grunen-ar00984
