index,url,name,appearances,current,sex,join_date,join_year,years,status,death ,return,Notes
1,http://marvel.wikia.com/Henry_Pym_(Earth-616),"Henry Jonathan ""Hank"" Pym",1269,YES,male,Sep-63,1963,60,full,death,no_return,Merged with Ultron in Rage of Ultron Vol. 1. A funeral was held. 
2,http://marvel.wikia.com/Janet_van_Dyne_(Earth-616),Janet van Dyne,1165,YES,female,Sep-63,1963,60,full,death,return,Dies in Secret Invasion V1:I8. Actually was sent tto Microverse later recovered
3,http://marvel.wikia.com/Anthony_Stark_(Earth-616),"Anthony Edward ""Tony"" Stark",3068,YES,male,Sep-63,1963,60,full,death,return,"Death: ""Later while under the influence of Immortus Stark committed a number of horrible acts and was killed.'  This set up young Tony. Franklin Richards later brought him back"
4,http://marvel.wikia.com/Robert_Bruce_Banner_(Earth-616),Robert Bruce Banner,2089,YES,male,Sep-63,1963,60,full,death,return,"Dies in Ghosts of the Future arc. However ""he had actually used a hidden Pantheon base to survive"""
5,http://marvel.wikia.com/Thor_Odinson_(Earth-616),Thor Odinson,2402,YES,male,Sep-63,1963,60,full,death,return,Dies in Fear Itself brought back because that's kind of the whole point. Second death in Time Runs Out has not yet returned
6,http://marvel.wikia.com/Richard_Jones_(Earth-616),Richard Milhouse Jones,612,YES,male,Sep-63,1963,60,honorary,no_death,no_return,NA
7,http://marvel.wikia.com/Steven_Rogers_(Earth-616),Steven Rogers,3458,YES,male,Mar-64,1964,59,full,death,return,Dies at the end of Civil War. Later comes back. 
8,http://marvel.wikia.com/Clint_Barton_(Earth-616),Clinton Francis Barton,1456,YES,male,May-65,1965,58,full,death,return,Dies in exploding Kree ship in Averngers Vol. 1  Issue 502. Brought back by Scarlet Witch. Dies again in House of M Vol 1 Issue 7. Is later brought back. 
9,http://marvel.wikia.com/Pietro_Maximoff_(Earth-616),Pietro Maximoff,769,YES,male,May-65,1965,58,full,death,return,Dies in House of M Vol 1 Issue 7. Later comes back
10,http://marvel.wikia.com/Wanda_Maximoff_(Earth-616),Wanda Maximoff,1214,YES,female,May-65,1965,58,full,death,return,Dies in Uncanny_Avengers_Vol_1_14. Later comes back
11,http://marvel.wikia.com/Jacques_Duquesne_(Earth-616),Jacques Duquesne,115,NO,male,Sep-65,1965,58,full,death,return,Dies in Avengers_Vol_1_130. Brought back by the Chaos King
12,http://marvel.wikia.com/Hercules_(Earth-616),Heracles,741,YES,male,Oct-67,1967,56,full,no_death,no_return,NA
